n_binders,replicate,p1_kr_frac,diversity,mean_novelty,mean_seqid,mean_valid,kl_aa,loop_entropy
3,1,1.0,0.33716981132075485,0.04887401095556887,0.9511259890444311,1.0,0.07460629971708047,0.6929712006818015
3,2,1.0,0.34596226415094344,0.05587340231284199,0.944126597687158,1.0,0.07614963656211432,0.6816607623430675
3,3,1.0,0.35803773584905674,0.0731588557516738,0.9268411442483262,1.0,0.058803419589688585,0.7617333902751411
5,1,1.0,0.393056603773585,0.1380401704199633,0.8619598295800367,1.0,0.03634241494138646,0.8260048902221314
5,2,1.0,0.3661132075471698,0.11661594643943984,0.8833840535605602,1.0,0.05596270222380348,0.8163467447588008
5,3,1.0,0.37524528301886795,0.10904770822604049,0.8909522917739595,1.0,0.03242069764984079,0.8895132115596682
8,1,1.0,0.4451698113207546,0.192635423006695,0.807364576993305,1.0,0.04996958724381099,1.0222345588573898
8,2,1.0,0.4232830188679245,0.18256823821339951,0.8174317617866005,1.0,0.026737823597331758,0.978665842059913
8,3,1.0,0.44501886792452816,0.2019476567255022,0.7980523432744978,1.0,0.026537034724128966,1.0825193009872214
10,1,1.0,0.4124905660377358,0.20542628400205998,0.79457371599794,1.0,0.012329355133097372,1.1008745532855098
10,2,1.0,0.4410188679245285,0.21758743386862678,0.7824125661313732,1.0,0.017680808416541644,1.1745828230817579
10,3,1.0,0.43890566037735834,0.2131794559670397,0.7868205440329603,1.0,0.019358414988977817,1.0543559187996696
15,1,1.0,0.4305283018867925,0.23669959579880484,0.7633004042011952,1.0,0.02295023473474614,1.1977238986461574
15,2,1.0,0.46445283018867944,0.24307395789440844,0.7569260421055916,1.0,0.029057861782344048,1.1894480503141225
15,3,1.0,0.47018867924528296,0.24979009629040072,0.7502099037095993,1.0,0.016261005663600753,1.2114675183176773
20,1,1.0,0.46377358490566045,0.26468175008193295,0.735318249918067,1.0,0.016237249627339523,1.2159749292590383
20,2,1.0,0.4867169811320755,0.28669647455405234,0.7133035254459477,1.0,0.016651482901649077,1.2830011328431283
20,3,1.0,0.4903773584905661,0.2801781450442439,0.7198218549557561,1.0,0.010810412957436904,1.2539873367818153
25,1,1.0,0.48366037735849055,0.3014139238728408,0.6985860761271592,1.0,0.00993141935601213,1.3234094347492462
25,2,1.0,0.48966037735849055,0.2966936654337752,0.7033063345662248,1.0,0.011886911896006842,1.3474607102576344
25,3,1.0,0.48773584905660383,0.305793810571656,0.694206189428344,1.0,0.012583105469287911,1.340137507993475
32,1,1.0,0.49535849056603765,0.32063072065639764,0.6793692793436024,1.0,0.010128190454907173,1.400230368521341
32,2,1.0,0.4966037735849057,0.322788037244253,0.677211962755747,1.0,0.009580402101310913,1.400721859703036
32,3,1.0,0.5007169811320755,0.3189745101596515,0.6810254898403485,1.0,0.00863439714673163,1.3915177878953822
