rho,replicate,f_eff,f_obs,attn_A,diversity
1.0,1,0.32323232323232326,0.4064516129032258,0.32522505269473445,0.5574213836477987
1.0,2,0.32323232323232326,0.4112903225806452,0.3390484817463222,0.560754716981132
1.0,3,0.32323232323232326,0.38387096774193546,0.3413406562923263,0.55062893081761
1.0,4,0.32323232323232326,0.3725806451612903,0.31618956892251343,0.5581132075471698
1.0,5,0.32323232323232326,0.3338709677419355,0.3123060729325896,0.5562264150943397
2.0,1,0.48854961832061067,0.40483870967741936,0.47477703558084283,0.559559748427673
2.0,2,0.48854961832061067,0.38225806451612904,0.4799965415473579,0.5581132075471698
2.0,3,0.48854961832061067,0.4290322580645161,0.4906472313986825,0.5550943396226413
2.0,4,0.48854961832061067,0.45645161290322583,0.46885316516344594,0.5514465408805032
2.0,5,0.48854961832061067,0.3870967741935484,0.4691578581215353,0.5546540880503146
5.0,1,0.7048458149779736,0.47096774193548385,0.7164835230190953,0.549308176100629
5.0,2,0.7048458149779736,0.47580645161290325,0.7052157220157034,0.5483647798742137
5.0,3,0.7048458149779736,0.47096774193548385,0.7165522443683512,0.5471698113207548
5.0,4,0.7048458149779736,0.5048387096774194,0.7088173671696391,0.551446540880503
5.0,5,0.7048458149779736,0.4806451612903226,0.715226329726185,0.5416352201257861
10.0,1,0.8268733850129198,0.5548387096774193,0.8304922784293638,0.5351572327044025
10.0,2,0.8268733850129198,0.4790322580645161,0.8302545888382009,0.541194968553459
10.0,3,0.8268733850129198,0.5177419354838709,0.8372071350315257,0.5417610062893081
10.0,4,0.8268733850129198,0.5048387096774194,0.8221446537256425,0.5354088050314465
10.0,5,0.8268733850129198,0.5193548387096775,0.8275764165370676,0.5365408805031446
20.0,1,0.9052333804809052,0.5290322580645161,0.9103796575465973,0.5400628930817609
20.0,2,0.9052333804809052,0.4967741935483871,0.9071605704164468,0.5403773584905662
20.0,3,0.9052333804809052,0.5032258064516129,0.8988336697797034,0.538238993710692
20.0,4,0.9052333804809052,0.5016129032258064,0.8966680806416163,0.5387421383647798
20.0,5,0.9052333804809052,0.48870967741935484,0.9052542354692957,0.5408176100628931
50.0,1,0.9598080383923215,0.5096774193548387,0.9530564404559887,0.5327672955974843
50.0,2,0.9598080383923215,0.535483870967742,0.9648019814386841,0.5319496855345912
50.0,3,0.9598080383923215,0.5854838709677419,0.9564376322625923,0.5290566037735849
50.0,4,0.9598080383923215,0.5645161290322581,0.960814009951946,0.5338364779874214
50.0,5,0.9598080383923215,0.5725806451612904,0.965469955595238,0.5260377358490567
100.0,1,0.9794918885827977,0.5693548387096774,0.9728728373678258,0.520125786163522
100.0,2,0.9794918885827977,0.5725806451612904,0.978008458902678,0.5173584905660377
100.0,3,0.9794918885827977,0.5338709677419354,0.9780343513525696,0.5141509433962264
100.0,4,0.9794918885827977,0.5483870967741935,0.9758492262195078,0.5226415094339623
100.0,5,0.9794918885827977,0.5919354838709677,0.9786911926214718,0.520440251572327
500.0,1,0.9958299620339827,0.5693548387096774,0.99649473305592,0.5079245283018868
500.0,2,0.9958299620339827,0.5887096774193549,0.9948591577947873,0.5110062893081762
500.0,3,0.9958299620339827,0.635483870967742,0.9963155298299768,0.5093710691823898
500.0,4,0.9958299620339827,0.5806451612903226,0.9957800422889491,0.5084276729559749
500.0,5,0.9958299620339827,0.5596774193548387,0.9957784924395885,0.5137735849056606
