source,name,length,total_log_likelihood,mean_log_likelihood,pseudo_perplexity
SA_multiplicity_rho500,sa_multiplicity_rho500_1,53,-69.71007268090034,-1.3152843902056668,3.7258104185890613
SA_multiplicity_rho500,sa_multiplicity_rho500_2,53,-58.17203007196076,-1.0975854730558634,2.9969211341475406
SA_multiplicity_rho500,sa_multiplicity_rho500_3,53,-79.47597470867913,-1.4995466926165875,4.479657947988481
SA_multiplicity_rho500,sa_multiplicity_rho500_4,53,-85.16037805349333,-1.6067995859149686,4.986825754027504
SA_multiplicity_rho500,sa_multiplicity_rho500_5,53,-73.4667856421438,-1.386165766832902,3.9994856559236087
SA_multiplicity_rho500,sa_multiplicity_rho500_6,53,-78.43017092518858,-1.479814545758275,4.3921310660477895
SA_multiplicity_rho500,sa_multiplicity_rho500_7,53,-83.13872063800227,-1.5686551063774012,4.800188108310882
SA_multiplicity_rho500,sa_multiplicity_rho500_8,53,-80.8197811130085,-1.5249015304341227,4.594691109791387
SA_multiplicity_rho500,sa_multiplicity_rho500_9,53,-75.2432898741099,-1.4196847146058473,4.135816272206102
SA_multiplicity_rho500,sa_multiplicity_rho500_10,53,-74.89370070991572,-1.4130886926399193,4.108626109264874
SA_multiplicity_rho500,sa_multiplicity_rho500_11,53,-70.94449081533821,-1.3385752984026078,3.81360638204255
SA_multiplicity_rho500,sa_multiplicity_rho500_12,53,-81.68762901984155,-1.5412760192422934,4.670546177048561
SA_multiplicity_rho500,sa_multiplicity_rho500_13,53,-73.88669759061304,-1.3940886337851517,4.0312989083214825
SA_multiplicity_rho500,sa_multiplicity_rho500_14,53,-83.19564486376476,-1.5697291483729199,4.805346481584483
SA_multiplicity_rho500,sa_multiplicity_rho500_15,53,-76.5062067581166,-1.4435133350588039,4.23555061524465
SA_multiplicity_rho500,sa_multiplicity_rho500_16,53,-77.01994874631055,-1.453206580119067,4.276806473867839
SA_multiplicity_rho500,sa_multiplicity_rho500_17,53,-73.85892317991238,-1.3935645883002337,4.029186877778591
SA_multiplicity_rho500,sa_multiplicity_rho500_18,53,-78.87731207127217,-1.4882511711560786,4.429342579634761
SA_multiplicity_rho500,sa_multiplicity_rho500_19,53,-70.75840106763644,-1.33506417108748,3.8002398041157943
SA_multiplicity_rho500,sa_multiplicity_rho500_20,53,-68.36676715489011,-1.289939002922455,3.6325649731475775
SA_multiplicity_rho500,sa_multiplicity_rho500_21,53,-72.18622901928029,-1.362004321118496,3.90401035563784
SA_multiplicity_rho500,sa_multiplicity_rho500_22,53,-84.30920467071701,-1.5907397107682455,4.907377626141642
SA_multiplicity_rho500,sa_multiplicity_rho500_23,53,-76.1780805097078,-1.4373222737680718,4.209409067247367
SA_multiplicity_rho500,sa_multiplicity_rho500_24,53,-77.90251862574951,-1.4698588419952738,4.348621255036626
SA_multiplicity_rho500,sa_multiplicity_rho500_25,53,-83.7236003378639,-1.5796905724125263,4.85345378636942
SA_multiplicity_rho500,sa_multiplicity_rho500_26,53,-79.28609760047402,-1.4959641056693211,4.463637897642113
SA_multiplicity_rho500,sa_multiplicity_rho500_27,53,-81.44666070432868,-1.5367294472514845,4.649359402712131
SA_multiplicity_rho500,sa_multiplicity_rho500_28,53,-73.9797041543643,-1.3958434746106472,4.038379406982625
SA_multiplicity_rho500,sa_multiplicity_rho500_29,53,-77.21125248027965,-1.4568160845335785,4.292271519499962
SA_multiplicity_rho500,sa_multiplicity_rho500_30,53,-77.05529305915115,-1.4538734539462481,4.2796595153728
SA_multiplicity_rho500,sa_multiplicity_rho500_31,53,-73.7720113976975,-1.391924743352783,4.022585050500694
SA_multiplicity_rho500,sa_multiplicity_rho500_32,53,-70.14464480959577,-1.3234838643319957,3.7564856934154656
SA_multiplicity_rho500,sa_multiplicity_rho500_33,53,-82.13640066230437,-1.549743408722724,4.710261415524917
SA_multiplicity_rho500,sa_multiplicity_rho500_34,53,-81.04068090161309,-1.5290694509738318,4.613881381224332
SA_multiplicity_rho500,sa_multiplicity_rho500_35,53,-79.04930465121288,-1.491496314173828,4.443739777628872
SA_multiplicity_rho500,sa_multiplicity_rho500_36,53,-77.26386347564403,-1.4578087448234722,4.296534402438073
SA_multiplicity_rho500,sa_multiplicity_rho500_37,53,-79.34988994325977,-1.4971677347784862,4.46901369673362
SA_multiplicity_rho500,sa_multiplicity_rho500_38,53,-84.15256481786491,-1.5877842418465078,4.892895435454178
SA_multiplicity_rho500,sa_multiplicity_rho500_39,53,-90.79160427220631,-1.7130491372114398,5.545845767983621
SA_multiplicity_rho500,sa_multiplicity_rho500_40,53,-73.09013518510619,-1.3790591544359658,3.9711636176517744
SA_multiplicity_rho500,sa_multiplicity_rho500_41,53,-70.3094722648384,-1.3265938163177058,3.7681863683951393
SA_multiplicity_rho500,sa_multiplicity_rho500_42,53,-77.34762877615867,-1.459389222191673,4.303330346826336
SA_multiplicity_rho500,sa_multiplicity_rho500_43,53,-69.07629687373992,-1.3033263561083004,3.6815223772619605
SA_multiplicity_rho500,sa_multiplicity_rho500_44,53,-75.08677895943401,-1.4167316784798871,4.1236210726386595
SA_multiplicity_rho500,sa_multiplicity_rho500_45,53,-75.82981136324815,-1.430751157797135,4.181839233588887
SA_multiplicity_rho500,sa_multiplicity_rho500_46,53,-64.656392464065,-1.219931933284245,3.386957186723036
SA_multiplicity_rho500,sa_multiplicity_rho500_47,53,-81.40517375594936,-1.5359466746405541,4.645721435549602
SA_multiplicity_rho500,sa_multiplicity_rho500_48,53,-83.94522295473143,-1.5838721312213477,4.87379128038249
SA_multiplicity_rho500,sa_multiplicity_rho500_49,53,-74.23860247497214,-1.40072834858438,4.058154641885976
SA_multiplicity_rho500,sa_multiplicity_rho500_50,53,-76.39255858468823,-1.4413690298997779,4.2264780328779965
HMM_weighted_rho500,weighted_profile_hmm_1,53,-102.6996439974755,-1.9377291320278398,6.942966494945136
HMM_weighted_rho500,weighted_profile_hmm_2,53,-96.05437816097401,-1.8123467577542267,6.1248040112417526
HMM_weighted_rho500,weighted_profile_hmm_3,53,-107.93540546717122,-2.0365170842862494,7.663870047387743
HMM_weighted_rho500,weighted_profile_hmm_4,53,-105.15110677480698,-1.9839831466944713,7.271649424016637
HMM_weighted_rho500,weighted_profile_hmm_5,53,-97.09106143435929,-1.831906819516213,6.245784895557216
HMM_weighted_rho500,weighted_profile_hmm_6,53,-97.00924171373481,-1.8303630512025435,6.2361502894547165
HMM_weighted_rho500,weighted_profile_hmm_7,53,-98.94912319106515,-1.8669645885106634,6.468631610312113
HMM_weighted_rho500,weighted_profile_hmm_8,53,-104.30775689985603,-1.968070884902944,7.156856762283757
HMM_weighted_rho500,weighted_profile_hmm_9,53,-104.33761449041776,-1.9686342356682598,7.160889718895982
HMM_weighted_rho500,weighted_profile_hmm_10,53,-100.31879253103398,-1.8928074062459241,6.63797804782606
HMM_weighted_rho500,weighted_profile_hmm_11,53,-89.98690385557711,-1.697866110482587,5.462279046676353
HMM_weighted_rho500,weighted_profile_hmm_12,53,-107.68389471247792,-2.03177159834864,7.627587417294919
HMM_weighted_rho500,weighted_profile_hmm_13,53,-80.41151989949867,-1.5171984886697862,4.5594339801864425
HMM_weighted_rho500,weighted_profile_hmm_14,53,-103.4379038263578,-1.9516585627614678,7.040354772783163
HMM_weighted_rho500,weighted_profile_hmm_15,53,-97.9941399791278,-1.8489460373420339,6.353120041435264
HMM_weighted_rho500,weighted_profile_hmm_16,53,-103.01180993311573,-1.9436190553418062,6.983980701869326
HMM_weighted_rho500,weighted_profile_hmm_17,53,-89.63008976337733,-1.691133769120327,5.425628629507736
HMM_weighted_rho500,weighted_profile_hmm_18,53,-92.28851981111802,-1.7412928266248684,5.704713863264177
HMM_weighted_rho500,weighted_profile_hmm_19,53,-107.47774419479538,-2.0278819659395353,7.597976531137069
HMM_weighted_rho500,weighted_profile_hmm_20,53,-87.29878964752425,-1.6471469744815894,5.192145352488892
HMM_weighted_rho500,weighted_profile_hmm_21,52,-102.1052992597688,-1.9635634473032462,7.124670270813093
HMM_weighted_rho500,weighted_profile_hmm_22,53,-102.82896093232557,-1.940169074194822,6.959927615321924
HMM_weighted_rho500,weighted_profile_hmm_23,53,-107.58563298068475,-2.0299176034091464,7.613459009867607
HMM_weighted_rho500,weighted_profile_hmm_24,53,-100.56277404009597,-1.8974108309452071,6.668605922394279
HMM_weighted_rho500,weighted_profile_hmm_25,53,-102.84863247536123,-1.940540235384174,6.962511349794749
HMM_weighted_rho500,weighted_profile_hmm_26,53,-85.28732081619091,-1.6091947323809606,4.9987842475636635
HMM_weighted_rho500,weighted_profile_hmm_27,53,-100.66118389111944,-1.8992676205871593,6.680999623484365
HMM_weighted_rho500,weighted_profile_hmm_28,52,-98.56781317992136,-1.8955348688446416,6.656107597277757
HMM_weighted_rho500,weighted_profile_hmm_29,53,-102.30531040299684,-1.9302888755282421,6.891500739980955
HMM_weighted_rho500,weighted_profile_hmm_30,53,-111.86769155040383,-2.110711161328374,8.254109201125724
HMM_weighted_rho500,weighted_profile_hmm_31,53,-87.34126293926965,-1.6479483573447105,5.196307916478163
HMM_weighted_rho500,weighted_profile_hmm_32,53,-100.74511006334797,-1.9008511332707163,6.691587451894857
HMM_weighted_rho500,weighted_profile_hmm_33,52,-99.02500535547733,-1.9043270260668719,6.714887162703627
HMM_weighted_rho500,weighted_profile_hmm_34,53,-95.74554890242871,-1.8065197906118624,6.089218757254766
HMM_weighted_rho500,weighted_profile_hmm_35,53,-96.38868121546693,-1.81865436255598,6.1635589513645375
HMM_weighted_rho500,weighted_profile_hmm_36,52,-97.5447892122902,-1.8758613310055807,6.5264381235837075
HMM_weighted_rho500,weighted_profile_hmm_37,53,-94.09765650006011,-1.7754274811332096,5.902803934371292
HMM_weighted_rho500,weighted_profile_hmm_38,52,-95.33737108088098,-1.8334109823246343,6.255186642012564
HMM_weighted_rho500,weighted_profile_hmm_39,53,-96.51976798890973,-1.8211276979039572,6.1788223675807
HMM_weighted_rho500,weighted_profile_hmm_40,52,-89.31297748547513,-1.7175572593360602,5.570903557339509
HMM_weighted_rho500,weighted_profile_hmm_41,52,-102.97075840621255,-1.9802068924271645,7.244241608858142
HMM_weighted_rho500,weighted_profile_hmm_42,53,-101.69312041066587,-1.9187381209559597,6.812356673092679
HMM_weighted_rho500,weighted_profile_hmm_43,53,-90.13325665332377,-1.7006274840249769,5.477383284140137
HMM_weighted_rho500,weighted_profile_hmm_44,53,-100.84248989348998,-1.9026884885564148,6.703893577369659
HMM_weighted_rho500,weighted_profile_hmm_45,53,-107.835952540976,-2.034640613980679,7.64950250716521
HMM_weighted_rho500,weighted_profile_hmm_46,52,-113.82355892006308,-2.1889145946165978,8.925520047687387
HMM_weighted_rho500,weighted_profile_hmm_47,53,-85.28456341283163,-1.6091427059024836,4.99852418518772
HMM_weighted_rho500,weighted_profile_hmm_48,53,-92.78668258560356,-1.7506921242566709,5.75858695475423
HMM_weighted_rho500,weighted_profile_hmm_49,53,-107.55595091031864,-2.0293575643456347,7.609196369147707
HMM_weighted_rho500,weighted_profile_hmm_50,52,-92.58501626038924,-1.7804810819305623,5.932709851677475
